Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
1991,Boston Celtics,56,26,0.6829999999999999,—,111.5,105.7,5.22,Y,N
1991,Philadelphia 76ers,44,38,0.537,12.0,105.4,105.6,-0.39,Y,N
1991,New York Knicks,39,43,0.47600000000000003,17.0,103.1,103.3,-0.43,Y,Y
1991,Washington Bullets,30,52,0.366,26.0,101.4,106.4,-4.84,N,Y
1991,New Jersey Nets,26,56,0.317,30.0,102.9,107.5,-4.53,N,Y
1991,Miami Heat,24,58,0.293,32.0,101.8,107.8,-5.91,N,Y
1991,Chicago Bulls,61,21,0.7440000000000001,—,110.0,101.0,8.57,Y,N
1991,Detroit Pistons,50,32,0.61,11.0,100.1,96.8,3.08,Y,N
1991,Milwaukee Bucks,48,34,0.585,13.0,106.4,104.0,2.33,Y,N
1991,Atlanta Hawks,43,39,0.524,18.0,109.8,109.0,0.72,Y,N
1991,Indiana Pacers,41,41,0.5,20.0,111.7,112.1,-0.37,Y,N
1991,Cleveland Cavaliers,33,49,0.402,28.0,101.7,104.2,-2.33,N,Y
1991,Charlotte Hornets,26,56,0.317,35.0,102.8,108.0,-4.95,N,Y
1991,San Antonio Spurs,55,27,0.6709999999999999,—,107.1,102.6,4.3,Y,N
1991,Utah Jazz,54,28,0.659,1.0,104.0,100.7,3.18,Y,N
1991,Houston Rockets,52,30,0.634,3.0,106.7,103.2,3.27,Y,N
1991,Orlando Magic,31,51,0.37799999999999995,24.0,105.9,109.9,-3.79,N,Y
1991,Minnesota Timberwolves,29,53,0.354,26.0,99.6,103.5,-3.75,N,Y
1991,Dallas Mavericks,28,54,0.341,27.0,99.9,104.5,-4.27,N,Y
1991,Denver Nuggets,20,62,0.244,35.0,119.9,130.8,-10.31,N,Y
1991,Portland Trail Blazers,63,19,0.768,—,114.7,106.0,8.47,Y,N
1991,Los Angeles Lakers,58,24,0.7070000000000001,5.0,106.3,99.6,6.73,Y,N
1991,Phoenix Suns,55,27,0.6709999999999999,8.0,114.0,107.5,6.49,Y,N
1991,Golden State Warriors,44,38,0.537,19.0,116.6,115.0,1.72,Y,N
1991,Seattle SuperSonics,41,41,0.5,22.0,106.6,105.4,1.31,Y,N
1991,Los Angeles Clippers,31,51,0.37799999999999995,32.0,103.5,107.0,-3.16,N,Y
1991,Sacramento Kings,25,57,0.305,38.0,96.7,103.5,-6.27,N,Y
1992,Boston Celtics,51,31,0.622,—,106.6,103.0,3.41,Y,N
1992,New York Knicks,51,31,0.622,—,101.6,97.7,3.67,Y,N
1992,New Jersey Nets,40,42,0.488,11.0,105.4,107.1,-1.54,Y,Y
1992,Miami Heat,38,44,0.46299999999999997,13.0,105.0,109.2,-3.94,Y,Y
1992,Philadelphia 76ers,35,47,0.42700000000000005,16.0,101.9,103.2,-1.34,N,Y
1992,Washington Bullets,25,57,0.305,26.0,102.4,106.8,-4.35,N,Y
1992,Orlando Magic,21,61,0.256,30.0,101.6,108.5,-6.52,N,Y
1992,Chicago Bulls,67,15,0.8170000000000001,—,109.9,99.5,10.07,Y,N
1992,Cleveland Cavaliers,57,25,0.695,10.0,108.9,103.4,5.34,Y,N
1992,Detroit Pistons,48,34,0.585,19.0,98.9,96.9,2.06,Y,N
1992,Indiana Pacers,40,42,0.488,27.0,112.2,110.3,1.85,Y,Y
1992,Atlanta Hawks,38,44,0.46299999999999997,29.0,106.2,107.7,-1.15,N,Y
1992,Milwaukee Bucks,31,51,0.37799999999999995,36.0,105.0,106.7,-1.46,N,Y
1992,Charlotte Hornets,31,51,0.37799999999999995,36.0,109.5,113.4,-3.57,N,Y
1992,Utah Jazz,55,27,0.6709999999999999,—,108.3,101.9,5.7,Y,N
1992,San Antonio Spurs,47,35,0.573,8.0,104.0,100.6,2.81,Y,N
1992,Houston Rockets,42,40,0.512,13.0,102.0,103.7,-1.94,N,N
1992,Denver Nuggets,24,58,0.293,31.0,99.7,107.6,-7.59,N,Y
1992,Dallas Mavericks,22,60,0.268,33.0,97.6,105.3,-7.47,N,Y
1992,Minnesota Timberwolves,15,67,0.183,40.0,100.5,107.5,-6.85,N,Y
1992,Portland Trail Blazers,57,25,0.695,—,111.4,104.1,6.94,Y,N
1992,Golden State Warriors,55,27,0.6709999999999999,2.0,118.7,114.8,3.77,Y,N
1992,Phoenix Suns,53,29,0.6459999999999999,4.0,112.1,106.2,5.68,Y,N
1992,Seattle SuperSonics,47,35,0.573,10.0,106.5,104.7,1.86,Y,N
1992,Los Angeles Clippers,45,37,0.5489999999999999,12.0,102.9,101.9,1.1,Y,N
1992,Los Angeles Lakers,43,39,0.524,14.0,100.4,101.5,-0.95,Y,N
1992,Sacramento Kings,29,53,0.354,28.0,104.3,110.3,-5.63,N,Y
1993,New York Knicks,60,22,0.732,—,101.6,95.4,5.87,Y,N
1993,Boston Celtics,48,34,0.585,12.0,103.7,102.8,0.93,Y,N
1993,New Jersey Nets,43,39,0.524,17.0,102.8,101.6,1.2,Y,N
1993,Orlando Magic,41,41,0.5,19.0,105.5,104.2,1.35,N,N
1993,Miami Heat,36,46,0.439,24.0,103.6,104.7,-0.93,N,Y
1993,Philadelphia 76ers,26,56,0.317,34.0,104.3,110.1,-5.25,N,Y
1993,Washington Bullets,22,60,0.268,38.0,101.9,108.9,-6.49,N,Y
1993,Chicago Bulls,57,25,0.695,—,105.2,98.9,6.19,Y,N
1993,Cleveland Cavaliers,54,28,0.659,3.0,107.7,101.3,6.3,Y,N
1993,Charlotte Hornets,44,38,0.537,13.0,110.1,110.4,-0.02,Y,N
1993,Atlanta Hawks,43,39,0.524,14.0,107.5,108.4,-0.67,Y,N
1993,Indiana Pacers,41,41,0.5,16.0,107.8,106.1,1.77,Y,N
1993,Detroit Pistons,40,42,0.488,17.0,100.6,102.0,-1.1,N,Y
1993,Milwaukee Bucks,28,54,0.341,29.0,102.3,106.1,-3.26,N,Y
1993,Houston Rockets,55,27,0.6709999999999999,—,104.0,99.8,3.57,Y,N
1993,San Antonio Spurs,49,33,0.598,6.0,105.5,102.8,2.21,Y,N
1993,Utah Jazz,47,35,0.573,8.0,106.2,104.0,1.74,Y,N
1993,Denver Nuggets,36,46,0.439,19.0,105.2,106.9,-2.14,N,Y
1993,Minnesota Timberwolves,19,63,0.23199999999999998,36.0,98.1,105.9,-7.62,N,Y
1993,Dallas Mavericks,11,71,0.134,44.0,99.3,114.5,-14.68,N,Y
1993,Phoenix Suns,62,20,0.7559999999999999,—,113.4,106.7,6.27,Y,N
1993,Seattle SuperSonics,55,27,0.6709999999999999,7.0,108.3,101.3,6.66,Y,N
1993,Portland Trail Blazers,51,31,0.622,11.0,108.5,105.4,2.92,Y,N
1993,Los Angeles Clippers,41,41,0.5,21.0,107.1,106.8,0.33,Y,N
1993,Los Angeles Lakers,39,43,0.47600000000000003,23.0,104.2,105.5,-1.2,Y,Y
1993,Golden State Warriors,34,48,0.415,28.0,109.9,110.9,-0.94,N,Y
1993,Sacramento Kings,25,57,0.305,37.0,107.9,111.1,-3.0,N,Y
1994,New York Knicks,57,25,0.695,—,98.5,91.5,6.48,Y,N
1994,Orlando Magic,50,32,0.61,7.0,105.7,101.8,3.68,Y,N
1994,New Jersey Nets,45,37,0.5489999999999999,12.0,103.2,101.0,2.11,Y,N
1994,Miami Heat,42,40,0.512,15.0,103.4,100.7,2.4,Y,N
1994,Boston Celtics,32,50,0.39,25.0,100.8,105.1,-4.28,N,Y
1994,Philadelphia 76ers,25,57,0.305,32.0,98.0,105.6,-7.37,N,Y
1994,Washington Bullets,24,58,0.293,33.0,100.4,107.7,-7.13,N,Y
1994,Atlanta Hawks,57,25,0.695,—,101.4,96.2,4.94,Y,N
1994,Chicago Bulls,55,27,0.6709999999999999,2.0,98.0,94.9,2.87,Y,N
1994,Indiana Pacers,47,35,0.573,10.0,101.0,97.5,3.26,Y,N
1994,Cleveland Cavaliers,47,35,0.573,10.0,101.2,97.1,3.64,Y,N
1994,Charlotte Hornets,41,41,0.5,16.0,106.5,106.7,-0.23,N,N
1994,Milwaukee Bucks,20,62,0.244,37.0,96.9,103.4,-6.24,N,Y
1994,Detroit Pistons,20,62,0.244,37.0,96.9,104.7,-7.46,N,Y
1994,Houston Rockets,58,24,0.7070000000000001,—,101.1,96.8,4.19,Y,N
1994,San Antonio Spurs,55,27,0.6709999999999999,3.0,100.0,94.8,5.05,Y,N
1994,Utah Jazz,53,29,0.6459999999999999,5.0,101.9,97.7,4.1,Y,N
1994,Denver Nuggets,42,40,0.512,16.0,100.3,98.8,1.54,Y,N
1994,Minnesota Timberwolves,20,62,0.244,38.0,96.7,103.6,-6.55,N,Y
1994,Dallas Mavericks,13,69,0.159,45.0,95.1,103.8,-8.19,N,Y
1994,Seattle SuperSonics,63,19,0.768,—,105.9,96.9,8.68,Y,N
1994,Phoenix Suns,56,26,0.6829999999999999,7.0,108.2,103.4,4.68,Y,N
1994,Golden State Warriors,50,32,0.61,13.0,107.9,106.1,1.76,Y,N
1994,Portland Trail Blazers,47,35,0.573,16.0,107.3,104.6,2.6,Y,N
1994,Los Angeles Lakers,33,49,0.402,30.0,100.4,104.7,-3.93,N,Y
1994,Sacramento Kings,28,54,0.341,35.0,101.1,106.9,-5.32,N,Y
1994,Los Angeles Clippers,27,55,0.32899999999999996,36.0,103.0,108.7,-5.28,N,Y
1995,Orlando Magic,57,25,0.695,—,110.9,103.8,6.44,Y,N
1995,New York Knicks,55,27,0.6709999999999999,2.0,98.2,95.1,2.78,Y,N
1995,Boston Celtics,35,47,0.42700000000000005,22.0,102.8,104.7,-1.92,Y,Y
1995,Miami Heat,32,50,0.39,25.0,101.1,102.8,-1.85,N,Y
1995,New Jersey Nets,30,52,0.366,27.0,98.1,101.2,-3.28,N,Y
1995,Philadelphia 76ers,24,58,0.293,33.0,95.4,100.4,-5.06,N,Y
1995,Washington Bullets,21,61,0.256,36.0,100.5,106.1,-5.56,N,Y
1995,Indiana Pacers,52,30,0.634,—,99.2,95.5,3.35,Y,N
1995,Charlotte Hornets,50,32,0.61,2.0,100.6,97.3,2.87,Y,N
1995,Chicago Bulls,47,35,0.573,5.0,101.5,96.7,4.32,Y,N
1995,Cleveland Cavaliers,43,39,0.524,9.0,90.5,89.8,0.55,Y,N
1995,Atlanta Hawks,42,40,0.512,10.0,96.6,95.3,1.06,Y,N
1995,Milwaukee Bucks,34,48,0.415,18.0,99.3,103.7,-4.3,N,Y
1995,Detroit Pistons,28,54,0.341,24.0,98.2,105.5,-7.08,N,Y
1995,San Antonio Spurs,62,20,0.7559999999999999,—,106.6,100.6,5.9,Y,N
1995,Utah Jazz,60,22,0.732,2.0,106.4,98.4,7.76,Y,N
1995,Houston Rockets,47,35,0.573,15.0,103.5,101.4,2.32,Y,N
1995,Denver Nuggets,41,41,0.5,21.0,101.3,100.5,0.96,Y,N
1995,Dallas Mavericks,36,46,0.439,26.0,103.2,106.1,-2.39,N,Y
1995,Minnesota Timberwolves,21,61,0.256,41.0,94.2,103.2,-8.22,N,Y
1995,Phoenix Suns,59,23,0.72,—,110.6,106.8,3.86,Y,N
1995,Seattle SuperSonics,57,25,0.695,2.0,110.4,102.2,7.91,Y,N
1995,Los Angeles Lakers,48,34,0.585,11.0,105.1,105.3,-0.01,Y,N
1995,Portland Trail Blazers,44,38,0.537,15.0,103.1,99.2,3.8,Y,N
1995,Sacramento Kings,39,43,0.47600000000000003,20.0,98.2,99.2,-0.74,N,Y
1995,Golden State Warriors,26,56,0.317,33.0,105.7,111.1,-4.9,N,Y
1995,Los Angeles Clippers,17,65,0.207,42.0,96.7,105.8,-8.43,N,Y
1996,Orlando Magic,60,22,0.732,—,104.5,99.0,5.4,Y,N
1996,New York Knicks,47,35,0.573,13.0,97.2,94.9,2.24,Y,N
1996,Miami Heat,42,40,0.512,18.0,96.5,95.0,1.46,Y,N
