Yr,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1991,1,Michael Jordan,27,CHI,77.0,891.0,960,0.928,82,37.0,31.5,6.0,5.5,2.7,1.0,.539,.312,.851,20.3,.321
1991,2,Magic Johnson,31,LAL,10.0,497.0,960,0.518,79,37.1,19.4,7.0,12.5,1.3,0.2,.477,.320,.906,15.4,.251
1991,3,David Robinson,25,SAS,6.0,476.0,960,0.496,82,37.7,25.6,13.0,2.5,1.5,3.9,.552,.143,.762,17.0,.264
1991,4,Charles Barkley,27,PHI,2.0,222.0,960,0.231,67,37.3,27.6,10.1,4.2,1.6,0.5,.570,.284,.722,13.4,.258
1991,5,Karl Malone,27,UTA,0.0,142.0,960,0.148,82,40.3,29.0,11.8,3.3,1.1,1.0,.527,.286,.770,15.5,.225
1991,6,Clyde Drexler,28,POR,1.0,75.0,960,0.078,82,34.8,21.5,6.7,6.0,1.8,0.7,.482,.319,.794,12.4,.209
1991,7,Kevin Johnson,24,PHO,0.0,32.0,960,0.033,77,36.0,22.2,3.5,10.1,2.1,0.1,.516,.205,.843,12.7,.220
1991,8,Dominique Wilkins,31,ATL,0.0,29.0,960,0.030,81,38.0,25.9,9.0,3.3,1.5,0.8,.470,.341,.829,11.4,.177
1991,9,Larry Bird,34,BOS,0.0,25.0,960,0.026,60,38.0,19.4,8.5,7.2,1.8,1.0,.454,.389,.891,6.6,.140
1991,10,Terry Porter,27,POR,0.0,25.0,960,0.026,81,32.9,17.0,3.5,8.0,2.0,0.1,.515,.415,.823,13.0,.235
1991,11,Patrick Ewing,28,NYK,0.0,20.0,960,0.021,81,38.3,26.6,11.2,3.0,1.0,3.2,.514,.000,.745,10.0,.155
1991,12,John Stockton,28,UTA,0.0,15.0,960,0.016,82,37.8,17.2,2.9,14.2,2.9,0.2,.507,.345,.836,14.0,.217
1991,13,Isiah Thomas,29,DET,0.0,11.0,960,0.011,48,34.5,16.2,3.3,9.3,1.6,0.2,.435,.292,.782,3.4,.098
1991,14,Robert Parish,37,BOS,0.0,10.0,960,0.010,81,30.1,14.9,10.6,0.8,0.8,1.3,.598,.000,.767,10.0,.198
1991,15,Joe Dumars,27,DET,0.0,8.0,960,0.008,80,38.1,20.4,2.3,5.5,1.1,0.1,.481,.311,.890,9.9,.155
1991,16,Bernard King,34,WSB,0.0,7.0,960,0.007,64,37.5,28.4,5.0,4.6,0.9,0.3,.472,.216,.790,3.5,.070
1991,17,Kenny Smith,25,HOU,0.0,5.0,960,0.005,78,34.6,17.7,2.1,7.1,1.4,0.1,.520,.363,.844,9.0,.161
1991,18,Hakeem Olajuwon,28,HOU,0.0,4.0,960,0.004,56,36.8,21.2,13.8,2.3,2.2,3.9,.508,.000,.769,8.6,.201
1991,19,Tim Hardaway,24,GSW,0.0,1.0,960,0.001,82,39.2,22.9,4.0,9.7,2.6,0.1,.476,.385,.803,9.9,.148
1991,20,Kevin McHale,33,BOS,0.0,1.0,960,0.001,68,30.4,18.4,7.1,1.9,0.4,2.1,.553,.405,.829,7.9,.182
1992,1,Michael Jordan,28,CHI,80.0,900.0,960,0.938,80,38.8,30.1,6.4,6.1,2.3,0.9,.519,.270,.832,17.7,.274
1992,2,Clyde Drexler,29,POR,12.0,561.0,960,0.584,76,36.2,25.0,6.6,6.7,1.8,0.9,.470,.337,.794,12.8,.223
1992,3,David Robinson,26,SAS,2.0,337.0,960,0.351,68,37.7,23.2,12.2,2.7,2.3,4.5,.551,.125,.701,13.9,.260
1992,4,Karl Malone,28,UTA,1.0,262.0,960,0.273,81,37.7,28.0,11.2,3.0,1.3,0.6,.526,.176,.778,15.1,.237
1992,5,Patrick Ewing,29,NYK,0.0,100.0,960,0.104,82,38.4,24.0,11.2,1.9,1.1,3.0,.522,.167,.738,13.0,.198
1992,6,Chris Mullin,28,GSW,0.0,81.0,960,0.084,81,41.3,25.6,5.6,3.5,2.1,0.8,.524,.366,.833,10.8,.155
1992,7,Mark Price,27,CLE,0.0,66.0,960,0.069,72,29.7,17.3,2.4,7.4,1.3,0.2,.488,.387,.947,9.1,.205
1992,8,Tim Hardaway,25,GSW,0.0,64.0,960,0.067,81,41.1,23.4,3.8,10.0,2.0,0.2,.461,.338,.766,9.2,.132
1992,9,Scottie Pippen,26,CHI,1.0,32.0,960,0.033,82,38.6,21.0,7.7,7.0,1.9,1.1,.506,.200,.760,12.7,.192
1992,10,Dennis Rodman,30,DET,0.0,26.0,960,0.027,82,40.3,9.8,18.7,2.3,0.8,0.9,.539,.317,.600,12.6,.183
1992,11,Brad Daugherty,26,CLE,0.0,24.0,960,0.025,73,36.2,21.5,10.4,3.6,0.9,1.1,.570,.000,.777,11.7,.213
1992,12,Charles Barkley,28,PHI,0.0,18.0,960,0.019,75,38.4,23.1,11.1,4.1,1.8,0.6,.552,.234,.695,12.3,.205
1992,13,John Stockton,29,UTA,0.0,18.0,960,0.019,82,36.6,15.8,3.3,13.7,3.0,0.3,.482,.407,.842,13.4,.215
1992,14,Larry Bird,35,BOS,0.0,3.0,960,0.003,45,36.9,20.2,9.6,6.8,0.9,0.7,.466,.406,.926,5.5,.159
1992,15,Kevin Johnson,25,PHO,0.0,2.0,960,0.002,78,37.2,19.7,3.7,10.7,1.5,0.3,.479,.217,.807,10.0,.165
1992,16,Danny Manning,25,LAC,0.0,1.0,960,0.001,82,35.4,19.3,6.9,3.5,1.6,1.5,.542,.000,.725,9.8,.162
1992,17,Detlef Schrempf,29,IND,0.0,1.0,960,0.001,80,32.6,17.3,9.6,3.9,0.8,0.5,.536,.324,.828,9.8,.181
1993,1,Charles Barkley,29,PHO,59.0,835.0,980,0.852,76,37.6,25.6,12.2,5.1,1.6,1.0,.520,.305,.765,14.4,.242
1993,2,Hakeem Olajuwon,30,HOU,22.0,647.0,980,0.660,82,39.5,26.1,13.0,3.5,1.8,4.2,.529,.000,.779,15.8,.234
1993,3,Michael Jordan,29,CHI,13.0,565.0,980,0.577,78,39.3,32.6,6.7,5.5,2.8,0.8,.495,.352,.837,17.2,.270
1993,4,Patrick Ewing,30,NYK,4.0,359.0,980,0.366,81,37.1,24.2,12.1,1.9,0.9,2.0,.503,.143,.719,10.6,.170
1993,5,Dominique Wilkins,33,ATL,0.0,54.0,980,0.055,71,37.3,29.9,6.8,3.2,1.0,0.4,.468,.380,.828,10.5,.191
1993,6,David Robinson,27,SAS,0.0,33.0,980,0.034,82,39.2,23.4,11.7,3.7,1.5,3.2,.501,.176,.732,13.2,.197
1993,7,Shaquille O'Neal,20,ORL,0.0,30.0,980,0.031,81,37.9,23.4,13.9,1.9,0.7,3.5,.562,.000,.592,10.4,.163
1993,8,Karl Malone,29,UTA,0.0,10.0,980,0.010,82,37.8,27.0,11.2,3.8,1.5,1.0,.552,.200,.740,15.4,.238
1993,9,Mark Price,28,CLE,0.0,10.0,980,0.010,75,31.7,18.2,2.7,8.0,1.2,0.1,.484,.416,.948,9.8,.197
1993,10,Brad Daugherty,27,CLE,0.0,1.0,980,0.001,71,37.9,20.2,10.2,4.4,0.7,0.8,.571,.500,.795,12.7,.226
1993,11,Clyde Drexler,30,POR,0.0,1.0,980,0.001,49,34.1,19.9,6.3,5.7,1.9,0.8,.429,.233,.839,6.0,.171
1993,12,Joe Dumars,29,DET,0.0,1.0,980,0.001,77,40.2,23.5,1.9,4.0,1.0,0.1,.466,.375,.864,9.1,.141
1993,13,Shawn Kemp,23,SEA,0.0,1.0,980,0.001,78,33.1,17.8,10.7,2.0,1.5,1.9,.492,.000,.712,9.1,.169
1993,14,John Stockton,30,UTA,0.0,1.0,980,0.001,82,34.9,15.1,2.9,12.0,2.4,0.3,.486,.385,.798,10.6,.177
1994,1,Hakeem Olajuwon,31,HOU,66.0,889.0,1010,0.880,80,41.0,27.3,11.9,3.6,1.6,3.7,.528,.421,.716,14.3,.210
1994,2,David Robinson,28,SAS,24.0,730.0,1010,0.723,80,40.5,29.8,10.7,4.8,1.7,3.3,.507,.345,.749,20.0,.296
1994,3,Scottie Pippen,28,CHI,7.0,390.0,1010,0.386,72,38.3,22.0,8.7,5.6,2.9,0.8,.491,.320,.660,11.2,.194
1994,4,Shaquille O'Neal,21,ORL,3.0,289.0,1010,0.286,81,39.8,29.3,13.2,2.4,0.9,2.9,.599,.000,.554,16.9,.252
1994,5,Patrick Ewing,31,NYK,1.0,255.0,1010,0.252,79,37.6,24.5,11.2,2.3,1.1,2.7,.496,.286,.765,13.1,.211
1994,6,Gary Payton,25,SEA,0.0,20.0,1010,0.020,82,35.1,16.5,3.3,6.0,2.3,0.2,.504,.278,.595,9.3,.155
1994,7,Shawn Kemp,24,SEA,0.0,17.0,1010,0.017,79,32.9,18.1,10.8,2.6,1.8,2.1,.538,.250,.741,11.7,.216
1994,8,Karl Malone,30,UTA,0.0,17.0,1010,0.017,82,40.6,25.2,11.5,4.0,1.5,1.5,.497,.250,.694,13.4,.193
1994,9,Mark Price,29,CLE,0.0,7.0,1010,0.007,76,31.4,17.3,3.0,7.8,1.4,0.1,.478,.397,.888,10.0,.201
1994,10,Charles Barkley,30,PHO,0.0,5.0,1010,0.005,65,35.4,21.6,11.2,4.6,1.6,0.6,.495,.270,.704,8.8,.185
1994,11,Mookie Blaylock,26,ATL,0.0,1.0,1010,0.001,81,36.0,13.8,5.2,9.7,2.6,0.5,.411,.334,.730,10.2,.168
1994,12,Kevin Johnson,27,PHO,0.0,1.0,1010,0.001,67,36.6,20.0,2.5,9.5,1.9,0.1,.487,.222,.819,8.7,.170
1994,13,Dennis Rodman,32,SAS,0.0,1.0,1010,0.001,79,37.8,4.7,17.3,2.3,0.7,0.4,.534,.208,.520,8.7,.140
1994,14,Latrell Sprewell,23,GSW,0.0,1.0,1010,0.001,82,43.1,21.0,4.9,4.7,2.2,0.9,.433,.361,.774,8.0,.108
1994,15,John Stockton,31,UTA,0.0,1.0,1010,0.001,82,36.2,15.1,3.1,12.6,2.4,0.3,.528,.322,.805,13.2,.214
1994,16,Dominique Wilkins,34,TOT,0.0,1.0,1010,0.001,74,35.6,26.0,6.5,2.3,1.2,0.4,.440,.288,.847,8.4,.153
1994,17,Kevin Willis,31,ATL,0.0,1.0,1010,0.001,80,35.8,19.1,12.0,1.9,1.0,0.5,.499,.375,.713,10.2,.170
1995,1,David Robinson,29,SAS,73.0,901.0,1050,0.858,81,38.0,27.6,10.8,2.9,1.7,3.2,.530,.300,.774,17.5,.273
1995,2,Shaquille O'Neal,22,ORL,12.0,605.0,1050,0.576,79,37.0,29.3,11.4,2.7,0.9,2.4,.583,.000,.533,14.0,.230
1995,3,Karl Malone,31,UTA,14.0,532.0,1050,0.507,82,38.1,26.7,10.6,3.5,1.6,1.0,.536,.268,.742,13.8,.212
