Yr,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,
1980,Kareem Abdul-Jabbar*,C,32,LAL,82,,3143,12.3,20.3,.604,0.0,0.0,.000,12.3,20.3,.604,5.3,7.0,.765,2.8,10.2,13.0,5.4,1.2,4.1,4.4,3.2,29.8,118,100,
1980,Tom Abernethy,PF,25,GSW,67,,1222,6.0,12.4,.481,0.0,0.0,.000,6.0,12.4,.483,2.2,3.2,.683,2.4,5.0,7.5,3.4,1.4,0.5,1.5,4.6,14.1,109,108,
1980,Alvan Adams,C,25,PHO,75,,2168,9.8,18.5,.531,0.0,0.0,.000,9.8,18.4,.533,4.0,5.0,.797,3.3,9.5,12.9,6.8,2.3,1.2,4.6,5.0,23.6,107,99,
1980,Tiny Archibald*,PG,31,BOS,80,80,2864,6.3,13.0,.482,0.1,0.3,.222,6.2,12.7,.488,5.9,7.1,.830,1.0,2.3,3.2,11.0,1.7,0.2,4.0,3.6,18.5,115,105,
1980,Dennis Awtrey,C,31,CHI,26,,560,2.3,5.0,.450,0.0,0.0,,2.3,5.0,.450,2.7,4.2,.640,2.4,7.2,9.7,3.4,1.0,1.3,2.3,5.6,7.2,102,107,
1980,Gus Bailey,SG,28,WSB,20,,180,4.2,9.1,.457,0.3,0.3,1.000,3.9,8.8,.441,1.3,3.4,.385,1.6,5.7,7.3,6.8,1.8,1.0,2.9,4.7,9.9,95,105,
1980,James Bailey,PF,22,SEA,67,,726,7.9,17.6,.450,0.0,0.0,,7.9,17.6,.450,4.4,6.6,.673,4.6,8.2,12.8,1.8,1.4,3.5,5.1,7.5,20.3,93,98,
1980,Greg Ballard,SF,25,WSB,82,,2438,10.5,21.1,.495,0.3,0.9,.340,10.1,20.2,.502,3.3,4.4,.753,4.6,7.6,12.2,3.1,1.7,0.7,2.6,3.8,24.5,110,104,
1980,Mike Bantom,SF,28,IND,77,,2330,7.6,15.0,.505,0.0,0.1,.333,7.6,14.9,.506,2.7,4.1,.665,3.8,5.2,9.0,5.5,1.7,1.0,3.7,5.3,17.9,105,107,
1980,Marvin Barnes,PF,27,SDC,20,,287,4.0,9.9,.400,0.0,0.0,,4.0,9.9,.400,2.6,5.3,.500,5.6,7.1,12.7,3.0,0.8,2.0,3.0,8.6,10.6,95,109,
1980,Rick Barry*,SF,35,HOU,72,,1816,8.5,20.1,.422,1.9,5.8,.330,6.6,14.4,.458,3.7,4.0,.935,1.4,4.8,6.2,7.0,2.1,0.7,4.0,4.8,22.6,106,108,
1980,Tim Bassett,PF,28,TOT,12,,164,3.3,9.3,.353,0.0,0.0,,3.3,9.3,.353,2.7,4.1,.667,3.0,6.0,9.0,3.8,2.2,0.0,2.4,7.3,9.3,92,105,
1980,Tim Bassett,PF,28,NJN,7,,92,3.9,10.8,.364,0.0,0.0,,3.9,10.8,.364,3.9,5.9,.667,3.4,5.4,8.9,2.0,2.5,0.0,2.0,6.9,11.8,97,103,
1980,Tim Bassett,PF,28,SAS,5,,72,2.4,7.3,.333,0.0,0.0,,2.4,7.3,.333,1.2,1.8,.667,2.4,6.7,9.1,6.1,1.8,0.0,3.0,7.9,6.1,86,109,
