Yr,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,Kareem Abdul-Jabbar*,C,32,LAL,82,,38.3,10.2,16.9,.604,0.0,0.0,.000,10.2,16.9,.604,.604,4.4,5.8,.765,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8
1980,Tom Abernethy,PF,25,GSW,67,,18.2,2.3,4.7,.481,0.0,0.0,.000,2.3,4.7,.483,.481,0.8,1.2,.683,0.9,1.9,2.9,1.3,0.5,0.2,0.6,1.8,5.4
1980,Alvan Adams,C,25,PHO,75,,28.9,6.2,11.7,.531,0.0,0.0,.000,6.2,11.6,.533,.531,2.5,3.1,.797,2.1,6.0,8.1,4.3,1.4,0.7,2.9,3.2,14.9
1980,Tiny Archibald*,PG,31,BOS,80,80,35.8,4.8,9.9,.482,0.1,0.2,.222,4.7,9.7,.488,.485,4.5,5.4,.830,0.7,1.7,2.5,8.4,1.3,0.1,3.0,2.7,14.1
1980,Dennis Awtrey,C,31,CHI,26,,21.5,1.0,2.3,.450,0.0,0.0,,1.0,2.3,.450,.450,1.2,1.9,.640,1.1,3.3,4.4,1.5,0.5,0.6,1.0,2.5,3.3
1980,Gus Bailey,SG,28,WSB,20,,9.0,0.8,1.8,.457,0.1,0.1,1.000,0.8,1.7,.441,.471,0.3,0.7,.385,0.3,1.1,1.4,1.3,0.4,0.2,0.6,0.9,1.9
1980,James Bailey,PF,22,SEA,67,,10.8,1.8,4.0,.450,0.0,0.0,,1.8,4.0,.450,.450,1.0,1.5,.673,1.1,1.9,2.9,0.4,0.3,0.8,1.2,1.7,4.7
1980,Greg Ballard,SF,25,WSB,82,,29.7,6.6,13.4,.495,0.2,0.6,.340,6.5,12.9,.502,.502,2.1,2.8,.753,2.9,4.9,7.8,1.9,1.1,0.4,1.6,2.4,15.6
1980,Mike Bantom,SF,28,IND,77,,30.3,5.0,9.9,.505,0.0,0.0,.333,5.0,9.8,.506,.506,1.8,2.7,.665,2.5,3.4,5.9,3.6,1.1,0.6,2.5,3.5,11.8
1980,Marvin Barnes,PF,27,SDC,20,,14.4,1.2,3.0,.400,0.0,0.0,,1.2,3.0,.400,.400,0.8,1.6,.500,1.7,2.2,3.9,0.9,0.3,0.6,0.9,2.6,3.2
1980,Rick Barry*,SF,35,HOU,72,,25.2,4.5,10.7,.422,1.0,3.1,.330,3.5,7.6,.458,.469,2.0,2.1,.935,0.7,2.5,3.3,3.7,1.1,0.4,2.1,2.5,12.0
1980,Tim Bassett,PF,28,TOT,12,,13.7,1.0,2.8,.353,0.0,0.0,,1.0,2.8,.353,.353,0.8,1.3,.667,0.9,1.8,2.8,1.2,0.7,0.0,0.8,2.3,2.8
1980,Tim Bassett,PF,28,NJN,7,,13.1,1.1,3.1,.364,0.0,0.0,,1.1,3.1,.364,.364,1.1,1.7,.667,1.0,1.6,2.6,0.6,0.7,0.0,0.6,2.0,3.4
1980,Tim Bassett,PF,28,SAS,5,,14.4,0.8,2.4,.333,0.0,0.0,,0.8,2.4,.333,.333,0.4,0.6,.667,0.8,2.2,3.0,2.0,0.6,0.0,1.0,2.6,2.0
1980,Billy Ray Bates,SG,23,POR,16,,14.7,4.5,9.1,.493,0.5,1.2,.421,4.0,7.9,.504,.521,1.8,2.4,.718,0.8,1.0,1.8,1.9,0.9,0.1,1.3,1.6,11.3
1980,Ron Behagen,PF,29,WSB,6,,10.7,1.5,3.8,.391,0.0,0.0,,1.5,3.8,.391,.391,0.8,1.0,.833,1.0,1.3,2.3,1.2,0.0,0.7,0.7,2.3,3.8
1980,Kent Benson,C,25,TOT,73,,25.9,4.1,8.5,.484,0.0,0.1,.200,4.1,8.4,.486,.485,1.4,1.9,.702,1.7,4.5,6.2,2.4,1.0,1.3,2.2,3.4,9.6
1980,Kent Benson,C,25,MIL,56,,24.8,3.8,7.7,.494,0.0,0.0,.000,3.8,7.7,.495,.494,1.2,1.7,.680,1.7,4.2,5.9,2.3,1.0,1.3,1.9,3.2,8.8
1980,Kent Benson,C,25,DET,17,,29.5,5.1,11.0,.460,0.1,0.2,.250,5.0,10.8,.464,.463,1.9,2.6,.750,1.8,5.3,7.1,3.0,1.1,1.1,3.0,4.0,12.1
1980,Del Beshore,PG,23,CHI,68,,12.8,1.3,3.7,.352,0.1,0.4,.385,1.1,3.3,.348,.372,0.9,1.3,.667,0.2,0.7,0.9,2.0,0.9,0.1,1.5,1.5,3.6
1980,Henry Bibby,PG,30,PHI,82,8,24.8,3.1,7.6,.401,0.1,0.6,.212,2.9,7.0,.418,.410,2.8,3.5,.790,0.8,1.7,2.5,3.7,0.8,0.1,1.8,2.0,9.0
1980,Larry Bird*,PF,23,BOS,82,82,36.0,8.5,17.8,.474,0.7,1.7,.406,7.7,16.1,.481,.494,3.7,4.4,.836,2.6,7.8,10.4,4.5,1.7,0.6,3.2,3.4,21.3
1980,Otis Birdsong,SG,24,KCK,82,,35.2,9.5,18.9,.505,0.1,0.4,.278,9.4,18.4,.511,.508,3.5,5.0,.694,2.1,2.0,4.0,2.5,1.7,0.3,2.2,2.8,22.7
1980,Ron Boone,SG,33,TOT,81,,29.5,5.0,11.3,.443,0.2,0.6,.380,4.8,10.7,.446,.453,2.2,2.4,.893,0.7,2.1,2.8,3.8,1.2,0.0,2.4,2.9,12.4
1980,Ron Boone,SG,33,LAL,6,,17.7,2.3,6.7,.350,0.0,0.0,,2.3,6.7,.350,.350,1.0,1.2,.857,0.7,1.2,1.8,1.2,0.8,0.0,2.2,2.2,5.7
1980,Ron Boone,SG,33,UTA,75,,30.5,5.2,11.7,.447,0.3,0.7,.380,5.0,11.0,.451,.458,2.3,2.5,.894,0.7,2.2,2.9,4.0,1.2,0.0,2.5,2.9,12.9
1980,Lawrence Boston,PF,23,WSB,13,,9.6,1.8,4.0,.462,0.0,0.0,,1.8,4.0,.462,.462,0.6,1.0,.615,1.5,1.5,3.0,0.2,0.3,0.2,0.6,1.9,4.3
1980,Tom Boswell,PF,26,TOT,79,,26.3,4.4,7.8,.564,0.1,0.1,.500,4.3,7.6,.566,.569,2.6,3.5,.755,1.8,3.7,5.6,2.0,0.4,0.5,2.3,3.4,11.4
1980,Tom Boswell,PF,26,DEN,18,,29.0,4.0,7.5,.533,0.1,0.1,.500,3.9,7.4,.534,.537,3.2,3.9,.829,2.2,4.1,6.3,2.6,0.3,0.4,2.2,3.1,11.3
1980,Tom Boswell,PF,26,UTA,61,,25.5,4.5,7.8,.573,0.1,0.1,.500,4.4,7.7,.574,.577,2.4,3.3,.729,1.7,3.6,5.4,1.9,0.4,0.5,2.3,3.5,11.5
1980,Winford Boynes,SG,22,NJN,64,,17.2,3.5,7.3,.473,0.0,0.1,.000,3.5,7.2,.477,.473,1.6,2.1,.765,0.8,1.3,2.1,1.5,0.9,0.3,1.5,2.1,8.5
1980,Alonzo Bradley,SF,26,HOU,22,,4.4,0.8,2.2,.354,0.0,0.0,1.000,0.7,2.1,.340,.365,0.3,0.4,.667,0.1,0.2,0.3,0.1,0.1,0.0,0.4,0.4,1.9
1980,Dudley Bradley,SG,22,IND,82,,24.7,3.4,7.4,.452,0.0,0.1,.400,3.3,7.4,.452,.453,1.7,2.1,.782,0.8,1.9,2.7,3.1,2.6,0.6,2.0,2.4,8.4
1980,Mike Bratz,PG,24,PHO,82,,19.4,3.3,8.4,.392,0.3,1.0,.244,3.0,7.3,.413,.407,1.7,2.0,.870,0.6,1.4,2.0,2.7,1.1,0.1,1.6,2.0,8.5
1980,Jim Brewer,PF,28,POR,67,,15.2,1.3,2.7,.489,0.0,0.1,.000,1.3,2.7,.503,.489,0.2,0.4,.483,1.5,2.3,3.8,1.1,0.6,0.6,0.7,1.9,2.9
1980,Ron Brewer,SG,24,POR,82,,34.3,6.7,14.4,.464,0.1,0.4,.188,6.6,14.0,.471,.466,2.2,2.7,.840,0.7,2.0,2.6,2.6,1.2,0.6,2.0,1.9,15.7
1980,Junior Bridgeman,SF,26,MIL,81,,28.6,7.3,15.3,.478,0.1,0.3,.185,7.3,15.0,.484,.480,2.8,3.3,.865,1.3,2.4,3.7,2.9,1.2,0.2,2.1,2.7,17.6
1980,Allan Bristow,SF,28,UTA,82,,28.1,4.6,9.6,.480,0.0,0.1,.286,4.6,9.5,.482,.482,2.4,3.0,.811,2.1,4.2,6.2,4.2,1.1,0.1,2.2,2.6,11.6
1980,Fred Brown,SG,31,SEA,80,,21.3,5.1,10.5,.479,0.5,1.1,.443,4.6,9.4,.483,.502,1.4,1.7,.837,0.4,1.5,1.9,2.2,0.8,0.2,1.3,1.5,12.0
1980,John Brown,SF,28,TOT,32,,12.0,1.2,3.3,.352,0.0,0.0,,1.2,3.3,.352,.352,1.2,1.5,.792,0.8,1.4,2.2,0.6,0.1,0.1,0.9,2.2,3.5
1980,John Brown,SF,28,UTA,4,,6.0,0.0,1.8,.000,0.0,0.0,,0.0,1.8,.000,.000,1.0,1.0,1.000,1.3,1.0,2.3,1.0,0.0,0.0,1.3,1.0,1.0
1980,John Brown,SF,28,ATL,28,,12.9,1.3,3.5,.378,0.0,0.0,,1.3,3.5,.378,.378,1.2,1.6,.773,0.8,1.5,2.2,0.5,0.1,0.1,0.9,2.4,3.9
1980,Roger Brown,C,29,CHI,4,,9.3,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.0,0.0,,0.5,2.0,2.5,0.3,0.0,0.8,0.0,1.0,0.5
1980,Joe Bryant,PF,25,SDC,81,,28.7,3.6,8.4,.431,0.1,0.4,.147,3.6,8.0,.446,.435,2.0,2.7,.742,2.1,4.3,6.4,1.8,1.3,0.5,2.1,3.2,9.3
1980,Quinn Buckner,PG,25,MIL,67,,25.2,4.6,9.8,.467,0.0,0.1,.400,4.5,9.7,.468,.469,1.6,2.1,.734,1.0,2.5,3.6,5.7,2.0,0.1,2.2,3.0,10.7
1980,Tom Burleson,C,27,KCK,37,,7.4,1.0,2.8,.346,0.0,0.1,.000,1.0,2.7,.356,.346,0.6,1.1,.575,0.6,1.3,1.9,0.5,0.2,0.4,0.7,1.3,2.6
1980,Don Buse,PG,29,PHO,81,,30.9,3.2,7.3,.443,0.2,1.0,.241,3.0,6.3,.475,.459,1.0,1.6,.664,0.9,2.0,2.9,4.0,1.6,0.1,1.1,1.4,7.7
1980,Marty Byrnes,SF,23,LAL,32,,6.1,0.8,1.6,.500,0.0,0.0,,0.8,1.6,.500,.500,0.4,0.5,.867,0.3,0.6,0.8,0.4,0.2,0.0,0.7,1.0,2.0
1980,Corky Calhoun,SF,29,IND,7,,4.3,0.6,1.3,.444,0.0,0.0,,0.6,1.3,.444,.444,0.0,0.3,.000,1.0,0.4,1.4,0.0,0.3,0.0,0.1,0.9,1.1
1980,Mack Calvin,PG,32,UTA,48,,16.1,2.1,4.7,.441,0.0,0.2,.091,2.1,4.5,.458,.443,2.2,2.4,.897,0.3,1.5,1.8,2.8,0.6,0.0,1.2,1.5,6.4
1980,Austin Carr,SG,31,CLE,77,,20.7,5.1,10.9,.465,0.0,0.1,.333,5.0,10.8,.466,.466,1.6,2.2,.738,1.1,1.1,2.1,1.9,0.5,0.0,1.4,1.6,11.8
1980,Kenny Carr,PF,24,TOT,79,,23.3,4.8,9.7,.492,0.0,0.1,.000,4.8,9.7,.495,.492,2.2,3.3,.658,2.5,4.9,7.4,1.0,0.8,0.7,1.9,3.1,11.8
1980,Kenny Carr,PF,24,LAL,5,,11.4,1.4,3.2,.438,0.0,0.0,,1.4,3.2,.438,.438,0.4,0.4,1.000,1.0,2.4,3.4,0.2,0.4,0.2,1.8,1.2,3.2
1980,Kenny Carr,PF,24,CLE,74,,24.1,5.0,10.2,.493,0.0,0.1,.000,5.0,10.1,.496,.493,2.3,3.5,.655,2.6,5.1,7.7,1.0,0.9,0.7,2.0,3.2,12.3
1980,M.L. Carr,SF,29,BOS,82,7,24.3,4.4,9.3,.474,0.1,0.5,.293,4.3,8.8,.485,.482,2.2,2.9,.739,1.3,2.7,4.0,1.9,1.5,0.4,1.7,2.6,11.1
1980,Bob Carrington,SG,26,SDC,10,,13.4,1.5,3.7,.405,0.0,0.2,.000,1.5,3.5,.429,.405,0.6,0.8,.750,0.6,0.7,1.3,0.3,0.4,0.1,0.5,1.8,3.6
1980,Ron Carter,SG,23,IND,13,,9.0,1.2,2.8,.405,0.0,0.0,,1.2,2.8,.405,.405,0.2,0.5,.286,0.4,1.1,1.5,0.7,0.2,0.2,0.8,1.5,2.5
1980,Bill Cartwright,C,22,NYK,82,,38.4,8.1,14.8,.547,0.0,0.0,,8.1,14.8,.547,.547,5.5,6.9,.797,2.4,6.5,8.9,2.0,0.6,1.2,2.7,3.4,21.7
1980,Harvey Catchings,C,28,MIL,72,,19.0,1.3,3.4,.398,0.0,0.0,.000,1.3,3.4,.399,.398,0.5,0.9,.629,2.3,3.4,5.7,1.1,0.3,2.3,0.9,2.7,3.2
1980,Don Chaney,SG,33,BOS,60,0,8.7,1.1,3.2,.354,0.0,0.1,.167,1.1,3.1,.361,.357,0.5,0.7,.762,0.5,0.7,1.2,0.6,0.5,0.2,0.6,1.3,2.8
1980,Maurice Cheeks*,PG,23,PHI,79,79,33.2,4.5,8.4,.540,0.1,0.1,.444,4.5,8.3,.541,.543,2.3,2.9,.779,0.9,2.5,3.5,7.0,2.3,0.4,2.7,2.5,11.4
